p1,p2,theta1,theta2,log_t1,log_t2
5,10,5.10102,6.38831,1.62944,1.85447
5,11,5.10102,5.25816,1.62944,1.65978
5,12,5.10102,4.34792,1.62944,1.4697
5,13,5.10102,3.61085,1.62944,1.28394
5,14,5.10102,3.01092,1.62944,1.10224
5,15,5.10102,2.52023,1.62944,0.924349
5,16,5.10102,2.11703,1.62944,0.750014
5,17,5.10102,1.78428,1.62944,0.579014
5,18,5.10102,1.50853,1.62944,0.411139
5,19,5.10102,1.27915,1.62944,0.246194
5,20,5.10102,1.08763,1.62944,0.0839986
6,0,4.17422,61.2697,1.42893,4.11528
6,1,4.17422,47.4684,1.42893,3.86006
6,2,4.17422,37.0308,1.42893,3.61175
6,3,4.17422,29.0859,1.42893,3.37025
6,4,4.17422,22.9987,1.42893,3.13544
6,5,4.17422,18.304,1.42893,2.90712
6,6,4.17422,14.6594,1.42893,2.68508
6,7,4.17422,11.8115,1.42893,2.46907
6,8,4.17422,9.57182,1.42893,2.25882
6,9,4.17422,7.79945,1.42893,2.05405
6,10,4.17422,6.38831,1.42893,1.85447
6,11,4.17422,5.25816,1.42893,1.65978
6,12,4.17422,4.34792,1.42893,1.4697
6,13,4.17422,3.61085,1.42893,1.28394
6,14,4.17422,3.01092,1.42893,1.10224
6,15,4.17422,2.52023,1.42893,0.924349
6,16,4.17422,2.11703,1.42893,0.750014
6,17,4.17422,1.78428,1.42893,0.579014
6,18,4.17422,1.50853,1.42893,0.411139
6,19,4.17422,1.27915,1.42893,0.246194
6,20,4.17422,1.08763,1.42893,0.0839986
7,0,3.43332,61.2697,1.23353,4.11528
7,1,3.43332,47.4684,1.23353,3.86006
7,2,3.43332,37.0308,1.23353,3.61175
7,3,3.43332,29.0859,1.23353,3.37025
7,4,3.43332,22.9987,1.23353,3.13544
7,5,3.43332,18.304,1.23353,2.90712
7,6,3.43332,14.6594,1.23353,2.68508
7,7,3.43332,11.8115,1.23353,2.46907
7,8,3.43332,9.57182,1.23353,2.25882
7,9,3.43332,7.79945,1.23353,2.05405
7,10,3.43332,6.38831,1.23353,1.85447
7,11,3.43332,5.25816,1.23353,1.65978
7,12,3.43332,4.34792,1.23353,1.4697
7,13,3.43332,3.61085,1.23353,1.28394
7,14,3.43332,3.01092,1.23353,1.10224
7,15,3.43332,2.52023,1.23353,0.924349
7,16,3.43332,2.11703,1.23353,0.750014
7,17,3.43332,1.78428,1.23353,0.579014
7,18,3.43332,1.50853,1.23353,0.411139
7,19,3.43332,1.27915,1.23353,0.246194
