mode,mult,TF_Recalc(10:20-80),TF_Recalc(5:20-80),TF_Recalc(10:50-50),TF_Recalc(5:50-50),DP_Calc,DP_Sim,TF_Static_Sim(20-80),TF_Static_Sim(50-50),OF_Static_Sim,Seed
Concave,0.8,78.4705,77.7805,77.0785,77.223,88.9659,89.081,420,420,77.2245,4
Uniform,0.6,94.39,92.774,94.474,94.5265,100.581,100.745,320,320,93.31,5
Uniform,0.7,99.4005,99.8045,100.995,100.005,105.285,105.441,380,380,98.8195,5
Uniform,0.8,109.522,109.632,110.822,111.058,116.716,117.429,440,440,110.436,5
Linear,0.6,115.851,115.391,111.993,111.134,130.978,130.632,320,320,105.138,5
Linear,0.7,110.662,109.845,110.074,110.794,124.812,124.381,360,360,108.416,5
Linear,0.8,132.6,132.32,123.821,122.899,146.981,146.906,420,420,114.317,5
Exp_Gentle,0.6,140.535,140.079,138.249,138.124,153.389,152.889,320,320,128.699,5
Exp_Gentle,0.7,159.374,157.135,154.712,153.96,178.024,177.986,380,380,141.912,5
Exp_Gentle,0.8,149.741,150.458,141.814,140.579,168.722,168.066,420,420,134.896,5
Exp_Steep,0.6,249.619,246.232,247.652,248.518,265.553,264.689,320,320,238.48,5
Exp_Steep,0.7,259.332,260.697,259.454,258.803,279.841,279.301,360,360,248.745,5
Exp_Steep,0.8,287.009,288.935,287.914,290.853,325.477,325.845,440,440,279.035,5
Concave,0.6,74.661,74.5505,74.8515,74.7355,81.0391,81.0075,340,340,71.62,5
Concave,0.7,74.9405,74.8175,73.7765,73.859,83.3589,83.01,360,360,71.81,5
Concave,0.8,81.7575,81.721,81.5345,80.761,90.0557,90.627,440,440,79.371,5
Uniform,0.6,94.622,93.2935,93.9065,94.0835,98.7596,99.152,320,320,91.378,6
Uniform,0.7,94.11,93.5355,93.513,93.3875,98.6668,98.148,380,380,92.016,6
Uniform,0.8,102.276,102.503,102.8,102.423,108.545,108.131,440,440,102.072,6
Linear,0.6,128.644,127.144,119.227,116.763,138.403,138.141,320,320,105.4,6
Linear,0.7,149.544,147.15,136.011,135.092,164.928,164.223,380,380,124.253,6
Linear,0.8,121.836,124.043,120.888,120.285,136.096,137.876,440,440,115.29,6
Exp_Gentle,0.6,139.035,138.025,135.073,133.665,158.139,159.68,320,320,126.189,6
Exp_Gentle,0.7,136.089,136.516,135.102,135.551,153.461,153.6,380,380,131.308,6
Exp_Gentle,0.8,129.82,130.91,127.738,127.896,141.893,143.209,420,420,124.177,6
Exp_Steep,0.6,257.326,254.764,256.182,259.488,274.209,273.625,320,320,251.34,6
Exp_Steep,0.7,256.779,255.186,256.837,255.68,283.047,280.19,380,380,246.528,6
Exp_Steep,0.8,249.95,256.192,243.962,250.572,283.84,284.728,420,420,243.54,6
Concave,0.6,69.3455,68.4835,68.9795,68.7975,74.0599,73.2125,320,320,67.0065,6
Concave,0.7,75.4835,74.6585,75.268,75.747,87.066,87.252,380,380,74.3,6
Concave,0.8,81.928,80.3595,80.0525,78.679,93.858,93.761,420,420,78.22,6
Uniform,0.6,92.6885,92.184,93.2455,93.437,98.7878,98.123,320,320,91.483,7
Uniform,0.7,98.815,98.5155,99.2615,98.6795,103.863,104.588,360,360,97.084,7
Uniform,0.8,104.772,105.034,106.006,105.688,111.099,111.024,420,420,104.124,7
Linear,0.6,124.393,122.511,120.277,119.73,137.415,137.109,340,340,111.896,7
Linear,0.7,121.075,120.819,118.374,120.099,130.953,131.27,380,380,112.927,7
Linear,0.8,127.878,127.937,125.549,124.487,145.611,144.831,420,420,118.524,7
Exp_Gentle,0.6,153.732,152.001,149.639,147.029,172.217,172.04,340,340,139.14,7
Exp_Gentle,0.7,159.484,161.302,156.243,153.745,178.985,177.996,380,380,144.01,7
Exp_Gentle,0.8,146.36,147.551,144.729,143.352,163.502,161.989,440,440,138.232,7
Exp_Steep,0.6,234.92,231.178,230.335,231.053,252.371,253.242,320,320,219.059,7
Exp_Steep,0.7,267.372,268.338,269.629,267.463,297.219,297.496,360,360,264.576,7
Exp_Steep,0.8,289.915,292.926,290.211,290.576,321.841,322.255,440,440,278.352,7
Concave,0.6,73.4695,72.9015,73.6415,72.915,79.4687,79.3195,320,320,70.9115,7
Concave,0.7,79.572,81.049,76.1425,76.208,99.0677,98.9195,380,380,75.5,7
Concave,0.8,79.9075,79.868,80.671,80.7225,96.6495,97.0245,440,440,80.109,7
Uniform,0.6,96.3,95.4415,96.9495,96.049,102.051,101.249,320,320,94.493,8
Uniform,0.7,100.36,100.151,102.035,100.122,106.544,106.096,380,380,99.658,8
Uniform,0.8,100.052,99.6675,100.956,101.66,105.565,106.452,420,420,99.654,8
Linear,0.6,106.831,107.295,104.523,103.993,122.337,122.356,300,300,98.702,8
Linear,0.7,128.35,127.634,127.272,124.989,140.048,140.831,380,380,117.68,8
Linear,0.8,118.032,116.826,117.001,116.103,135.143,133.904,420,420,113.666,8
Exp_Gentle,0.6,152.137,152.413,150.036,148.055,166.718,167.198,320,320,137.005,8
Exp_Gentle,0.7,132.937,134.964,132.65,131.984,148.558,148.977,360,360,127.279,8
Exp_Gentle,0.8,154.42,154.197,148.303,146.789,173.763,173.342,440,440,139.312,8
Exp_Steep,0.6,263.354,261.195,266.121,267.243,282.847,282.885,320,320,263.62,8
Exp_Steep,0.7,307.642,307.161,306.602,305.542,328.533,327.294,380,380,303.206,8
Exp_Steep,0.8,286.998,286.322,288.534,286.612,316.221,313.543,440,440,274.914,8
Concave,0.6,73.026,73.1525,71.527,71.958,90.2004,90.7105,320,320,70.1525,8
Concave,0.7,72.8855,74.089,73.407,73.112,82.4108,82.1585,380,380,72.7155,8
Concave,0.8,79.6105,80.0825,78.9495,78.8715,90.1512,90.2165,440,440,77.175,8
Uniform,0.6,97.621,97.5295,96.874,97.545,103.492,104.35,320,320,95.85,9
Uniform,0.7,105.956,106.165,106.122,105.871,111.563,110.739,380,380,104.169,9
Uniform,0.8,102.238,102.202,103.608,102.466,107.674,107.937,420,420,101.706,9
Linear,0.6,119.769,120.701,120.579,118.318,146.796,146.202,320,320,116.019,9
Linear,0.7,128.882,126.392,124.789,123.657,142.958,142.396,380,380,116.624,9
Linear,0.8,133.026,132.514,128.12,127.365,148.691,149.492,440,440,120.217,9
