p,rev
0,0
1,22
2,44
3,65.988
4,87.768
5,105.81
6,113.646
7,110.852
8,102.888
9,95.067
10,87.6
11,79.882
12,72.372
13,67.925
14,59.108
15,54.27
16,47.888
17,44.438
18,39.06
19,34.523
20,32.68
